Index       TIME              V(2)       
150      1.47500000e-07    1.73815771e+00
151      1.48500000e-07    1.73817801e+00
152      1.49500000e-07    1.73819831e+00
153      1.50500000e-07    1.73821861e+00
154      1.51500000e-07    1.73823890e+00
155      1.52500000e-07    1.73825920e+00
156      1.53500000e-07    1.73827949e+00
157      1.54500000e-07    1.73829978e+00
158      1.55500000e-07    1.73832006e+00
159      1.56500000e-07    1.73834035e+00
160      1.57500000e-07    1.73836063e+00
161      1.58500000e-07    1.73838091e+00
162      1.59500000e-07    1.73840119e+00
163      1.60500000e-07    1.73842147e+00
164      1.61500000e-07    1.73844174e+00
165      1.62500000e-07    1.73846201e+00
166      1.63500000e-07    1.73848228e+00
167      1.64500000e-07    1.73850255e+00
168      1.65500000e-07    1.73852282e+00
169      1.66500000e-07    1.73854308e+00
170      1.67500000e-07    1.73856334e+00
171      1.68500000e-07    1.73858360e+00
172      1.69500000e-07    1.73860386e+00
173      1.70500000e-07    1.73862412e+00
174      1.71500000e-07    1.73864437e+00
175      1.72500000e-07    1.73866463e+00
176      1.73500000e-07    1.73868488e+00
177      1.74500000e-07    1.73870512e+00
178      1.75500000e-07    1.73872537e+00
179      1.76500000e-07    1.73874561e+00
180      1.77500000e-07    1.73876586e+00
181      1.78500000e-07    1.73878610e+00
182      1.79500000e-07    1.73880633e+00
183      1.80500000e-07    1.73882657e+00
184      1.81500000e-07    1.73884680e+00
185      1.82500000e-07    1.73886704e+00
186      1.83500000e-07    1.73888727e+00
187      1.84500000e-07    1.73890749e+00
188      1.85500000e-07    1.73892772e+00
189      1.86500000e-07    1.73894794e+00
190      1.87500000e-07    1.73896816e+00
191      1.88500000e-07    1.73898838e+00
192      1.89500000e-07    1.73900860e+00
193      1.90500000e-07    1.73902882e+00
194      1.91500000e-07    1.73904903e+00
195      1.92500000e-07    1.73906924e+00
196      1.93500000e-07    1.73908945e+00
197      1.94500000e-07    1.73910966e+00
198      1.95500000e-07    1.73912987e+00
199      1.96500000e-07    1.73915007e+00
200      1.97500000e-07    1.73917027e+00
201      1.98500000e-07    1.73919047e+00
202      1.99500000e-07    1.73921067e+00
203      2.00500000e-07    1.73923086e+00
204      2.01500000e-07    1.73925106e+00
205      2.02500000e-07    1.73927125e+00
206      2.03500000e-07    1.73929144e+00
207      2.04500000e-07    1.73931163e+00
208      2.05500000e-07    1.73933181e+00
209      2.06500000e-07    1.73935199e+00
210      2.07500000e-07    1.73937218e+00
211      2.08500000e-07    1.73939236e+00
212      2.09500000e-07    1.73941253e+00
213      2.10500000e-07    1.73943271e+00
214      2.11500000e-07    1.73945288e+00
215      2.12500000e-07    1.73947305e+00
216      2.13500000e-07    1.73949322e+00
217      2.14500000e-07    1.73951339e+00
218      2.15500000e-07    1.73953355e+00
219      2.16500000e-07    1.73955372e+00
220      2.17500000e-07    1.73957388e+00
221      2.18500000e-07    1.73959404e+00
222      2.19500000e-07    1.73961420e+00
223      2.20500000e-07    1.73963435e+00
224      2.21500000e-07    1.73965450e+00
225      2.22500000e-07    1.73967465e+00
226      2.23500000e-07    1.73969480e+00
227      2.24500000e-07    1.73971495e+00
228      2.25500000e-07    1.73973510e+00
229      2.26500000e-07    1.73975524e+00
230      2.27500000e-07    1.73977538e+00
231      2.28500000e-07    1.73979552e+00
232      2.29500000e-07    1.73981566e+00
233      2.30500000e-07    1.73983579e+00
234      2.31500000e-07    1.73985592e+00
235      2.32500000e-07    1.73987606e+00
236      2.33500000e-07    1.73989618e+00
237      2.34500000e-07    1.73991631e+00
238      2.35500000e-07    1.73993644e+00
239      2.36500000e-07    1.73995656e+00
240      2.37500000e-07    1.73997668e+00
241      2.38500000e-07    1.73999680e+00
242      2.39500000e-07    1.74001692e+00
243      2.40500000e-07    1.74003703e+00
244      2.41500000e-07    1.74005714e+00
245      2.42500000e-07    1.74007725e+00
246      2.43500000e-07    1.74009736e+00
247      2.44500000e-07    1.74011747e+00
248      2.45500000e-07    1.74013758e+00
249      2.46500000e-07    1.74015768e+00
250      2.47500000e-07    1.74017778e+00
251      2.48500000e-07    1.74019788e+00
252      2.49500000e-07    1.74021797e+00
253      2.50500000e-07    1.74023807e+00
254      2.51500000e-07    1.74025816e+00
255      2.52500000e-07    1.74027825e+00
256      2.53500000e-07    1.74029834e+00
257      2.54500000e-07    1.74031843e+00
258      2.55500000e-07    1.74033851e+00
259      2.56500000e-07    1.74035860e+00
260      2.57500000e-07    1.74037868e+00
261      2.58500000e-07    1.74039876e+00
262      2.59500000e-07    1.74041883e+00
263      2.60500000e-07    1.74043891e+00
264      2.61500000e-07    1.74045898e+00
265      2.62500000e-07    1.74047905e+00
266      2.63500000e-07    1.74049912e+00
267      2.64500000e-07    1.74051919e+00
268      2.65500000e-07    1.74053925e+00
269      2.66500000e-07    1.74055931e+00
270      2.67500000e-07    1.74057937e+00
271      2.68500000e-07    1.74059943e+00
272      2.69500000e-07    1.74061949e+00
273      2.70500000e-07    1.74063954e+00
274      2.71500000e-07    1.74065960e+00
275      2.72500000e-07    1.74067965e+00
276      2.73500000e-07    1.74069970e+00
277      2.74500000e-07    1.74071974e+00
278      2.75500000e-07    1.74073979e+00
279      2.76500000e-07    1.74075983e+00
280      2.77500000e-07    1.74077987e+00
281      2.78500000e-07    1.74079991e+00
282      2.79500000e-07    1.74081995e+00
283      2.80500000e-07    1.74083998e+00
284      2.81500000e-07    1.74086001e+00
285      2.82500000e-07    1.74088004e+00
286      2.83500000e-07    1.74090007e+00
287      2.84500000e-07    1.74092010e+00
288      2.85500000e-07    1.74094012e+00
289      2.86500000e-07    1.74096015e+00
290      2.87500000e-07    1.74098017e+00
291      2.88500000e-07    1.74100018e+00
292      2.89500000e-07    1.74102020e+00
293      2.90500000e-07    1.74104022e+00
294      2.91500000e-07    1.74106023e+00
295      2.92500000e-07    1.74108024e+00
296      2.93500000e-07    1.74110025e+00
297      2.94500000e-07    1.74112025e+00
298      2.95500000e-07    1.74114026e+00
299      2.96500000e-07    1.74116026e+00
300      2.97500000e-07    1.74118026e+00
301      2.98500000e-07    1.74120026e+00
302      2.99500000e-07    1.74122026e+00
303      3.00500000e-07    1.74124025e+00
304      3.01500000e-07    1.74126024e+00
305      3.02500000e-07    1.74128023e+00
306      3.03500000e-07    1.74130022e+00
307      3.04500000e-07    1.74132021e+00
308      3.05500000e-07    1.74134019e+00
309      3.06500000e-07    1.74136018e+00
310      3.07500000e-07    1.74138016e+00
311      3.08500000e-07    1.74140014e+00
312      3.09500000e-07    1.74142011e+00
313      3.10500000e-07    1.74144009e+00
314      3.11500000e-07    1.74146006e+00
315      3.12500000e-07    1.74148003e+00
316      3.13500000e-07    1.74150000e+00
317      3.14500000e-07    1.74151997e+00
318      3.15500000e-07    1.74153993e+00
319      3.16500000e-07    1.74155989e+00
320      3.17500000e-07    1.74157985e+00
321      3.18500000e-07    1.74159981e+00
322      3.19500000e-07    1.74161977e+00
323      3.20500000e-07    1.74163972e+00
324      3.21500000e-07    1.74165968e+00
325      3.22500000e-07    1.74167963e+00
326      3.23500000e-07    1.74169958e+00
327      3.24500000e-07    1.74171952e+00
328      3.25500000e-07    1.74173947e+00
329      3.26500000e-07    1.74175941e+00
330      3.27500000e-07    1.74177935e+00
331      3.28500000e-07    1.74179929e+00
332      3.29500000e-07    1.74181923e+00
333      3.30500000e-07    1.74183916e+00
334      3.31500000e-07    1.74185909e+00
335      3.32500000e-07    1.74187902e+00
336      3.33500000e-07    1.74189895e+00
337      3.34500000e-07    1.74191888e+00
338      3.35500000e-07    1.74193880e+00
339      3.36500000e-07    1.74195873e+00
340      3.37500000e-07    1.74197865e+00
341      3.38500000e-07    1.74199857e+00
342      3.39500000e-07    1.74201848e+00
343      3.40500000e-07    1.74203840e+00
344      3.41500000e-07    1.74205831e+00
345      3.42500000e-07    1.74207822e+00
346      3.43500000e-07    1.74209813e+00
347      3.44500000e-07    1.74211804e+00
348      3.45500000e-07    1.74213794e+00
349      3.46500000e-07    1.74215784e+00
350      3.47500000e-07    1.74217774e+00
351      3.48500000e-07    1.74219764e+00
352      3.49500000e-07    1.74221754e+00
353      3.50500000e-07    1.74223744e+00
354      3.51500000e-07    1.74225733e+00
355      3.52500000e-07    1.74227722e+00
356      3.53500000e-07    1.74229711e+00
357      3.54500000e-07    1.74231699e+00
358      3.55500000e-07    1.74233688e+00
359      3.56500000e-07    1.74235676e+00
360      3.57500000e-07    1.74237664e+00
361      3.58500000e-07    1.74239652e+00
362      3.59500000e-07    1.74241640e+00
363      3.60500000e-07    1.74243627e+00
364      3.61500000e-07    1.74245615e+00
365      3.62500000e-07    1.74247602e+00
366      3.63500000e-07    1.74249589e+00
367      3.64500000e-07    1.74251575e+00
368      3.65500000e-07    1.74253562e+00
369      3.66500000e-07    1.74255548e+00
370      3.67500000e-07    1.74257534e+00
371      3.68500000e-07    1.74259520e+00
372      3.69500000e-07    1.74261506e+00
373      3.70500000e-07    1.74263491e+00
374      3.71500000e-07    1.74265477e+00
375      3.72500000e-07    1.74267462e+00
376      3.73500000e-07    1.74269447e+00
377      3.74500000e-07    1.74271432e+00
378      3.75500000e-07    1.74273416e+00
379      3.76500000e-07    1.74275400e+00
380      3.77500000e-07    1.74277384e+00
381      3.78500000e-07    1.74279368e+00
382      3.79500000e-07    1.74281352e+00
383      3.80500000e-07    1.74283336e+00
384      3.81500000e-07    1.74285319e+00
385      3.82500000e-07    1.74287302e+00
386      3.83500000e-07    1.74289285e+00
387      3.84500000e-07    1.74291268e+00
388      3.85500000e-07    1.74293250e+00
389      3.86500000e-07    1.74295233e+00
390      3.87500000e-07    1.74297215e+00
391      3.88500000e-07    1.74299197e+00
392      3.89500000e-07    1.74301178e+00
393      3.90500000e-07    1.74303160e+00
394      3.91500000e-07    1.74305141e+00
395      3.92500000e-07    1.74307122e+00
396      3.93500000e-07    1.74309103e+00
397      3.94500000e-07    1.74311084e+00
398      3.95500000e-07    1.74313065e+00
399      3.96500000e-07    1.74315045e+00
400      3.97500000e-07    1.74317025e+00
401      3.98500000e-07    1.74319005e+00
402      3.99500000e-07    1.74320985e+00
403      4.00500000e-07    1.74322965e+00
404      4.01500000e-07    1.74324944e+00
405      4.02500000e-07    1.74326923e+00
406      4.03500000e-07    1.74328902e+00
407      4.04500000e-07    1.74330881e+00
408      4.05500000e-07    1.74332859e+00
409      4.06500000e-07    1.74334838e+00
410      4.07500000e-07    1.74336816e+00
411      4.08500000e-07    1.74338794e+00
412      4.09500000e-07    1.74340772e+00
413      4.10500000e-07    1.74342749e+00
414      4.11500000e-07    1.74344727e+00
415      4.12500000e-07    1.74346704e+00
416      4.13500000e-07    1.74348681e+00
417      4.14500000e-07    1.74350658e+00
418      4.15500000e-07    1.74352634e+00
419      4.16500000e-07    1.74354611e+00
420      4.17500000e-07    1.74356587e+00
421      4.18500000e-07    1.74358563e+00
422      4.19500000e-07    1.74360539e+00
423      4.20500000e-07    1.74362514e+00
424      4.21500000e-07    1.74364490e+00
425      4.22500000e-07    1.74366465e+00
426      4.23500000e-07    1.74368440e+00
427      4.24500000e-07    1.74370415e+00
428      4.25500000e-07    1.74372389e+00
429      4.26500000e-07    1.74374364e+00
430      4.27500000e-07    1.74376338e+00
431      4.28500000e-07    1.74378312e+00
432      4.29500000e-07    1.74380286e+00
433      4.30500000e-07    1.74382259e+00
434      4.31500000e-07    1.74384233e+00
435      4.32500000e-07    1.74386206e+00
436      4.33500000e-07    1.74388179e+00
437      4.34500000e-07    1.74390152e+00
438      4.35500000e-07    1.74392125e+00
439      4.36500000e-07    1.74394097e+00
440      4.37500000e-07    1.74396069e+00
441      4.38500000e-07    1.74398041e+00
442      4.39500000e-07    1.74400013e+00
443      4.40500000e-07    1.74401985e+00
444      4.41500000e-07    1.74403956e+00
445      4.42500000e-07    1.74405928e+00
446      4.43500000e-07    1.74407899e+00
447      4.44500000e-07    1.74409870e+00
448      4.45500000e-07    1.74411840e+00
449      4.46500000e-07    1.74413811e+00
450      4.47500000e-07    1.74415781e+00
451      4.48500000e-07    1.74417751e+00
452      4.49500000e-07    1.74419721e+00
453      4.50500000e-07    1.74421691e+00
454      4.51500000e-07    1.74423660e+00
455      4.52500000e-07    1.74425629e+00
456      4.53500000e-07    1.74427599e+00
457      4.54500000e-07    1.74429567e+00
458      4.55500000e-07    1.74431536e+00
459      4.56500000e-07    1.74433505e+00
460      4.57500000e-07    1.74435473e+00
461      4.58500000e-07    1.74437441e+00
462      4.59500000e-07    1.74439409e+00
463      4.60500000e-07    1.74441377e+00
464      4.61500000e-07    1.74443344e+00
465      4.62500000e-07    1.74445312e+00
466      4.63500000e-07    1.74447279e+00
467      4.64500000e-07    1.74449246e+00
468      4.65500000e-07    1.74451212e+00
469      4.66500000e-07    1.74453179e+00
470      4.67500000e-07    1.74455145e+00
471      4.68500000e-07    1.74457111e+00
472      4.69500000e-07    1.74459077e+00
473      4.70500000e-07    1.74461043e+00
474      4.71500000e-07    1.74463009e+00
475      4.72500000e-07    1.74464974e+00
476      4.73500000e-07    1.74466939e+00
477      4.74500000e-07    1.74468904e+00
478      4.75500000e-07    1.74470869e+00
479      4.76500000e-07    1.74472834e+00
480      4.77500000e-07    1.74474798e+00
481      4.78500000e-07    1.74476762e+00
482      4.79500000e-07    1.74478726e+00
483      4.80500000e-07    1.74480690e+00
484      4.81500000e-07    1.74482653e+00
485      4.82500000e-07    1.74484617e+00
486      4.83500000e-07    1.74486580e+00
487      4.84500000e-07    1.74488543e+00
488      4.85500000e-07    1.74490506e+00
489      4.86500000e-07    1.74492468e+00
490      4.87500000e-07    1.74494431e+00
491      4.88500000e-07    1.74496393e+00
492      4.89500000e-07    1.74498355e+00
493      4.90500000e-07    1.74500317e+00
494      4.91500000e-07    1.74502279e+00
495      4.92500000e-07    1.74504240e+00
496      4.93500000e-07    1.74506201e+00
497      4.94500000e-07    1.74508162e+00
498      4.95500000e-07    1.74510123e+00
499      4.96500000e-07    1.74512084e+00
500      4.97500000e-07    1.74514044e+00
501      4.98500000e-07    1.74516005e+00
502      4.99500000e-07    1.74517965e+00
503      5.00500000e-07    1.74519924e+00
504      5.01500000e-07    1.74521884e+00
505      5.02500000e-07    1.74523844e+00
506      5.03500000e-07    1.74525803e+00
507      5.04500000e-07    1.74527762e+00
508      5.05500000e-07    1.74529721e+00
509      5.06500000e-07    1.74531680e+00
510      5.07500000e-07    1.74533638e+00
511      5.08500000e-07    1.74535596e+00
512      5.09500000e-07    1.74537554e+00
513      5.10500000e-07    1.74539512e+00
514      5.11500000e-07    1.74541470e+00
515      5.12500000e-07    1.74543428e+00
516      5.13500000e-07    1.74545385e+00
517      5.14500000e-07    1.74547342e+00
518      5.15500000e-07    1.74549299e+00
519      5.16500000e-07    1.74551256e+00
520      5.17500000e-07    1.74553212e+00
521      5.18500000e-07    1.74555169e+00
522      5.19500000e-07    1.74557125e+00
523      5.20500000e-07    1.74559081e+00
524      5.21500000e-07    1.74561036e+00
525      5.22500000e-07    1.74562992e+00
526      5.23500000e-07    1.74564947e+00
527      5.24500000e-07    1.74566902e+00
528      5.25500000e-07    1.74568857e+00
529      5.26500000e-07    1.74570812e+00
530      5.27500000e-07    1.74572767e+00
531      5.28500000e-07    1.74574721e+00
532      5.29500000e-07    1.74576675e+00
533      5.30500000e-07    1.74578629e+00
534      5.31500000e-07    1.74580583e+00
535      5.32500000e-07    1.74582537e+00
536      5.33500000e-07    1.74584490e+00
537      5.34500000e-07    1.74586443e+00
538      5.35500000e-07    1.74588396e+00
539      5.36500000e-07    1.74590349e+00
540      5.37500000e-07    1.74592302e+00
541      5.38500000e-07    1.74594254e+00
542      5.39500000e-07    1.74596207e+00
543      5.40500000e-07    1.74598159e+00
544      5.41500000e-07    1.74600110e+00
545      5.42500000e-07    1.74602062e+00
546      5.43500000e-07    1.74604014e+00
547      5.44500000e-07    1.74605965e+00
548      5.45500000e-07    1.74607916e+00
549      5.46500000e-07    1.74609867e+00
550      5.47500000e-07    1.74611817e+00
551      5.48500000e-07    1.74613768e+00
552      5.49500000e-07    1.74615718e+00
553      5.50500000e-07    1.74617668e+00
554      5.51500000e-07    1.74619618e+00
555      5.52500000e-07    1.74621568e+00
556      5.53500000e-07    1.74623517e+00
557      5.54500000e-07    1.74625467e+00
558      5.55500000e-07    1.74627416e+00
559      5.56500000e-07    1.74629365e+00
560      5.57500000e-07    1.74631313e+00
561      5.58500000e-07    1.74633262e+00
562      5.59500000e-07    1.74635210e+00
563      5.60500000e-07    1.74637158e+00
564      5.61500000e-07    1.74639106e+00
565      5.62500000e-07    1.74641054e+00
566      5.63500000e-07    1.74643002e+00
567      5.64500000e-07    1.74644949e+00
568      5.65500000e-07    1.74646896e+00
569      5.66500000e-07    1.74648843e+00
570      5.67500000e-07    1.74650790e+00
571      5.68500000e-07    1.74652737e+00
572      5.69500000e-07    1.74654683e+00
573      5.70500000e-07    1.74656629e+00
574      5.71500000e-07    1.74658575e+00
575      5.72500000e-07    1.74660521e+00
576      5.73500000e-07    1.74662467e+00
577      5.74500000e-07    1.74664412e+00
578      5.75500000e-07    1.74666357e+00
579      5.76500000e-07    1.74668302e+00
580      5.77500000e-07    1.74670247e+00
581      5.78500000e-07    1.74672192e+00
582      5.79500000e-07    1.74674136e+00
583      5.80500000e-07    1.74676080e+00
584      5.81500000e-07    1.74678024e+00
585      5.82500000e-07    1.74679968e+00
586      5.83500000e-07    1.74681912e+00
587      5.84500000e-07    1.74683855e+00
588      5.85500000e-07    1.74685799e+00
589      5.86500000e-07    1.74687742e+00
590      5.87500000e-07    1.74689685e+00
591      5.88500000e-07    1.74691627e+00
592      5.89500000e-07    1.74693570e+00
593      5.90500000e-07    1.74695512e+00
594      5.91500000e-07    1.74697454e+00
595      5.92500000e-07    1.74699396e+00
596      5.93500000e-07    1.74701338e+00
597      5.94500000e-07    1.74703279e+00
598      5.95500000e-07    1.74705221e+00
599      5.96500000e-07    1.74707162e+00
600      5.97500000e-07    1.74709103e+00
601      5.98500000e-07    1.74711044e+00
602      5.99500000e-07    1.74712984e+00
603      6.00500000e-07    1.74714925e+00
604      6.01500000e-07    1.74716865e+00
605      6.02500000e-07    1.74718805e+00
606      6.03500000e-07    1.74720745e+00
607      6.04500000e-07    1.74722684e+00
608      6.05500000e-07    1.74724623e+00
609      6.06500000e-07    1.74726563e+00
610      6.07500000e-07    1.74728502e+00
611      6.08500000e-07    1.74730441e+00
612      6.09500000e-07    1.74732379e+00
613      6.10500000e-07    1.74734318e+00
614      6.11500000e-07    1.74736256e+00
615      6.12500000e-07    1.74738194e+00
616      6.13500000e-07    1.74740132e+00
617      6.14500000e-07    1.74742069e+00
618      6.15500000e-07    1.74744007e+00
619      6.16500000e-07    1.74745944e+00
620      6.17500000e-07    1.74747881e+00
621      6.18500000e-07    1.74749818e+00
622      6.19500000e-07    1.74751755e+00
623      6.20500000e-07    1.74753691e+00
624      6.21500000e-07    1.74755627e+00
625      6.22500000e-07    1.74757564e+00
626      6.23500000e-07    1.74759499e+00
627      6.24500000e-07    1.74761435e+00
628      6.25500000e-07    1.74763371e+00
629      6.26500000e-07    1.74765306e+00
630      6.27500000e-07    1.74767241e+00
631      6.28500000e-07    1.74769176e+00
632      6.29500000e-07    1.74771111e+00
633      6.30500000e-07    1.74773045e+00
634      6.31500000e-07    1.74774980e+00
635      6.32500000e-07    1.74776914e+00
636      6.33500000e-07    1.74778848e+00
637      6.34500000e-07    1.74780782e+00
638      6.35500000e-07    1.74782715e+00
639      6.36500000e-07    1.74784649e+00
640      6.37500000e-07    1.74786582e+00
641      6.38500000e-07    1.74788515e+00
642      6.39500000e-07    1.74790448e+00
643      6.40500000e-07    1.74792380e+00
644      6.41500000e-07    1.74794313e+00
645      6.42500000e-07    1.74796245e+00
646      6.43500000e-07    1.74798177e+00
647      6.44500000e-07    1.74800109e+00
648      6.45500000e-07    1.74802040e+00
649      6.46500000e-07    1.74803972e+00
650      6.47500000e-07    1.74805903e+00
651      6.48500000e-07    1.74807834e+00
652      6.49500000e-07    1.74809765e+00
653      6.50500000e-07    1.74811696e+00
654      6.51500000e-07    1.74813626e+00
655      6.52500000e-07    1.74815557e+00
656      6.53500000e-07    1.74817487e+00
657      6.54500000e-07    1.74819417e+00
658      6.55500000e-07    1.74821346e+00
659      6.56500000e-07    1.74823276e+00
660      6.57500000e-07    1.74825205e+00
661      6.58500000e-07    1.74827134e+00
662      6.59500000e-07    1.74829063e+00
663      6.60500000e-07    1.74830992e+00
664      6.61500000e-07    1.74832921e+00
665      6.62500000e-07    1.74834849e+00
666      6.63500000e-07    1.74836777e+00
667      6.64500000e-07    1.74838705e+00
668      6.65500000e-07    1.74840633e+00
669      6.66500000e-07    1.74842561e+00
670      6.67500000e-07    1.74844488e+00
671      6.68500000e-07    1.74846415e+00
672      6.69500000e-07    1.74848342e+00
673      6.70500000e-07    1.74850269e+00
674      6.71500000e-07    1.74852196e+00
675      6.72500000e-07    1.74854122e+00
676      6.73500000e-07    1.74856048e+00
677      6.74500000e-07    1.74857974e+00
678      6.75500000e-07    1.74859900e+00
679      6.76500000e-07    1.74861826e+00
680      6.77500000e-07    1.74863751e+00
681      6.78500000e-07    1.74865677e+00
682      6.79500000e-07    1.74867602e+00
683      6.80500000e-07    1.74869527e+00
684      6.81500000e-07    1.74871451e+00
685      6.82500000e-07    1.74873376e+00
686      6.83500000e-07    1.74875300e+00
687      6.84500000e-07    1.74877224e+00
688      6.85500000e-07    1.74879148e+00
689      6.86500000e-07    1.74881072e+00
690      6.87500000e-07    1.74882996e+00
691      6.88500000e-07    1.74884919e+00
692      6.89500000e-07    1.74886842e+00
693      6.90500000e-07    1.74888765e+00
694      6.91500000e-07    1.74890688e+00
695      6.92500000e-07    1.74892611e+00
696      6.93500000e-07    1.74894533e+00
697      6.94500000e-07    1.74896455e+00
